start_year,end_year,variable,estimate,pvalue,ame_estimate,ame_pvalue,mem_estimate,mem_pvalue
1989,2013,eci,6.03072274904949,0.00104579037545811,0.343392754665388,0.290713571068107,0.34339275466526,0.290709433746094
1989,2014,eci,5.78033230666408,0.00105876522419628,0.400616524623791,0.194035952868613,0.400616524623455,0.194033149678483
1989,2015,eci,5.77861069392009,0.00114982576071235,0.405965673105633,0.189489933983119,0.405965673105058,0.189487671851652
1989,2016,eci,5.76964759924351,0.00124553495298896,0.406915288947971,0.18931652311415,0.406915288947737,0.189316145501804
1990,1994,eci,8.01866774351879,0.156910170822515,1.81887321269211,0.0323239915554409,1.81887321269343,0.0322880524492355
1990,1995,eci,8.97006492411728,0.0857584411194548,2.00117224997761,0.0103874540735276,2.00117224997745,0.0103862224914609
1990,1996,eci,10.2531017718735,0.0172120206563495,1.39982730956662,0.0312710010511673,1.39982730956664,0.0312719849334009
1990,1997,eci,8.95792708476842,0.0176294757259134,1.37533040481396,0.0185751513446354,1.37533040481106,0.0185840365085765
1990,1998,eci,7.75570719535344,0.0285715068662718,1.40142392101399,0.00418396315294079,1.4014239210143,0.00418366395168971
1990,1999,eci,7.0973281808086,0.0350276392041727,1.23861056515637,0.0057726270548878,1.23861056515805,0.00577256473329537
1990,2000,eci,7.49880908515508,0.0243695540005142,1.12723919905486,0.00552331215010969,1.12723919905493,0.0055192778112115
1990,2001,eci,6.5439417742663,0.0315631830819646,1.0782155630759,0.0040133811978743,1.07821556307617,0.00401312289284801
1990,2002,eci,5.31745356192736,0.04588237392736,0.799654339662404,0.0190341935778295,0.799654339664798,0.0190336858660273
1990,2003,eci,4.91907116517151,0.0323019945194306,0.58594133841636,0.0635086153405431,0.585941338418292,0.0634864175777326
1990,2004,eci,4.74180513581471,0.0334483628156375,0.422948875008322,0.1673181414536,0.422948875008089,0.167314173021174
1990,2005,eci,5.04559593592787,0.0219987558793498,0.287214309523074,0.343594685357883,0.287214309524876,0.34355291525972
1990,2006,eci,4.91476303548561,0.022536938260088,0.169245176729136,0.581080693920826,0.169245176730826,0.581049067549721
1990,2007,eci,4.99142338919865,0.00820234074330393,0.164608654254915,0.58457922382758,0.164608654253702,0.584607380188751
1990,2008,eci,4.78835639759601,0.0104826933941413,0.0251909209085936,0.935102607636525,0.0251909209089706,0.935102506498629
1990,2009,eci,5.21146347585376,0.0044096537967258,0.0666994467747312,0.824488453474519,0.066699446775865,0.824487544300705
1990,2010,eci,5.08232424980446,0.00731129320809562,0.0269939105998204,0.930990811607889,0.0269939105988441,0.930995996320308
1990,2011,eci,5.20362754206147,0.00939895203921006,-0.0428688740993469,0.896960995309244,-0.042868874097402,0.896951346258765
1990,2012,eci,4.82770787321432,0.013577626360779,-0.0797058170114666,0.807398717647868,-0.079705817009359,0.807381918024193
1990,2013,eci,4.55611589461553,0.0167357140578479,-0.0812558941499425,0.79941227719683,-0.081255894149212,0.799428084481711
1990,2014,eci,4.43419533954756,0.0153562643564161,0.0171890771671314,0.954888506427471,0.0171890771677981,0.95488797064023
1990,2015,eci,4.41355412921565,0.016256982296873,0.0199429773433021,0.947780733185379,0.0199429773419597,0.947784474730465
1990,2016,eci,4.39782106978485,0.0169746043823804,0.0203753432445757,0.946683617625851,0.0203753432426716,0.946687627262641
1991,1995,eci,8.99874710682309,0.058094043985767,1.01162862247269,0.16295485907699,1.00416721438198,0.165317293943399
1991,1996,eci,9.27122163477121,0.0332423070580055,0.832270685901662,0.235810079293934,0.832270685901901,0.235808191261501
1991,1997,eci,7.73802662636693,0.0462040442433094,0.990508635829399,0.123117922662672,0.990508635830017,0.123115629449322
1991,1998,eci,6.41953876607544,0.0912691066839271,1.13036492499795,0.0405452319975668,1.13036492499786,0.0405443474841008
1991,1999,eci,5.7446354665443,0.107821430381177,0.944315733957012,0.0581357630388638,0.944315733955837,0.0581349626071682
1991,2000,eci,6.14081895883456,0.0685006842294613,0.878115157700947,0.0508195168461227,0.878115157702998,0.0507972994288023
1991,2001,eci,5.12186905211336,0.090320094581512,0.81034100228858,0.0486775330041977,0.810341002286911,0.0486952572176839
1991,2002,eci,4.91963691240621,0.0569329756229492,0.732883546537245,0.0470598001487878,0.732883546537264,0.0470591649890658
1991,2003,eci,4.35076533450411,0.0606611302194608,0.543571825870665,0.113582617160662,0.543571825870482,0.113580069262187
1991,2004,eci,4.20554677515477,0.0614541023565101,0.401480581154634,0.227786568270124,0.401480581156782,0.22778463739136
1991,2005,eci,4.66085229439392,0.0384934397502132,0.330654889541039,0.319585166301073,0.330654889539738,0.319581017461094
1991,2006,eci,5.01443576186084,0.024028697261594,0.339211529205858,0.308399994037852,0.339211529205075,0.308395581351893
1991,2007,eci,5.1691143930448,0.0135323107351476,0.357559390785452,0.268154506516668,0.357559390784653,0.268151462047706
1991,2008,eci,5.08261814177151,0.0187786822503579,0.264958855039325,0.424791265209881,0.26495885503898,0.42478858072908
1991,2009,eci,5.43364238925245,0.0101232851101233,0.301502856585515,0.351269352228515,0.301502856585377,0.351265351985871
1991,2010,eci,5.28701562458878,0.016452948401916,0.267000453855301,0.420211987892966,0.267000453858243,0.420171724932387
1991,2011,eci,5.43439246233169,0.0200870563821641,0.226401496042891,0.517723142972349,0.226401496043136,0.517722051887261
1991,2012,eci,4.97505327260242,0.0311387763740846,0.17358336573241,0.615626782709491,0.173583365732318,0.615656033926042
1991,2013,eci,4.67887502767473,0.034622935345674,0.149698487313516,0.65548039029976,0.149698487313243,0.655478430558233
1991,2014,eci,4.38461950331417,0.041441072255818,0.185735381678929,0.558577380073161,0.185735381678348,0.558540425727815
1991,2015,eci,4.37226591339455,0.04281253809105,0.188261162650497,0.553808237938666,0.188261162650457,0.55380473462988
1991,2016,eci,4.35892068827485,0.0437828741718889,0.188082310389759,0.554246641583357,0.188082310388861,0.554241753027782
1992,1996,eci,12.3255562625049,0.000679452906198163,1.48793437499065,0.030416133181522,1.48793437499099,0.0304183065509958
1992,1997,eci,9.56857859267882,0.00309218678352844,1.42527192785727,0.025263004803222,1.425271927857,0.0252626357405745
1992,1998,eci,9.49578518978353,0.00206911229337522,1.88853557054316,0.000321483170851502,1.88853557054312,0.000321500590581073
1992,1999,eci,8.55688789121267,0.00427223461805789,1.64771955731561,0.000393689544464057,1.64771955731487,0.000394027613538396
1992,2000,eci,8.96775773993009,0.00298462064111499,1.57448715204681,0.000135134564498311,1.57448715204687,0.000135117712469
1992,2001,eci,8.18422747387517,0.00278085830478433,1.53976455495765,3.89682699640433e-05,1.53976455495918,3.89101691317054e-05
1992,2002,eci,7.44085480064163,0.00094966258021472,1.33895832999994,9.34438968828932e-05,1.3389583299985,9.34360564286894e-05
1992,2003,eci,6.38965918065712,0.000739591958729038,1.05087335596556,0.00136398422176951,1.05087335596749,0.00136397571387654
1992,2004,eci,5.94074866221297,0.00081374843044421,0.830950741916869,0.00877503209946722,0.83095074191719,0.00877425106128006
1992,2005,eci,6.183130540657,0.000384417140148077,0.71588998873713,0.0229299472845206,0.71588998873578,0.0229395832351349
1992,2006,eci,6.32142552431452,0.000167111603094015,0.691543353978197,0.027496018236704,0.691543353980563,0.027471015101102
1992,2007,eci,6.06411757647685,0.000155998782251658,0.610862547693933,0.0471923390559096,0.610862547694697,0.0471909754238136
1992,2008,eci,6.36651737492301,5.27085541526379e-05,0.59484927224307,0.0566136832494824,0.594849272242748,0.0566110876661551
1992,2009,eci,6.79101924946115,3.02834112443566e-05,0.62488741554086,0.0374073703225409,0.624887415542688,0.0374070312387577
1992,2010,eci,6.81850469274326,5.21343779914382e-05,0.625629266749127,0.0430133228043642,0.62562926675003,0.0429781537147682
1992,2011,eci,6.92075105491532,9.20362929926292e-05,0.564827474432517,0.0826200439704679,0.564827474432599,0.0826671709457546
1992,2012,eci,6.50304484637016,0.000171831600935226,0.52393870590915,0.101206632783244,0.523938705906386,0.101258314691919
1992,2013,eci,6.18113371177346,0.00019178176801831,0.485418649373999,0.120129447744463,0.4854186493715,0.120185179705423
1992,2014,eci,5.86724125477339,0.000321038378916119,0.519371549446332,0.0825668959193669,0.519371549446074,0.0825653407388628
1992,2015,eci,5.85548775550018,0.000359264298251002,0.522526735629076,0.0813273082539505,0.522526735630308,0.0812765826301363
1992,2016,eci,5.84834282874756,0.000377507322023152,0.523388376507235,0.0809747781697081,0.523388376505351,0.0809708087009602
1993,1997,eci,6.90139413945106,0.11098311316396,1.0590756885642,0.126756323778414,1.05907568856435,0.126762422200868
