xvals,yvals,upper,lower,factor,group,period,first_year,last_year
6.5,0.958672765019701,2.05556581145178,-0.138220281412378,eci,No OPEC,1990 - 2016,1990,2016
6.6,0.913066825455229,1.98313497337009,-0.157001322459628,eci,No OPEC,1990 - 2016,1990,2016
6.7,0.867460885890433,1.91098949961651,-0.176067727835647,eci,No OPEC,1990 - 2016,1990,2016
6.8,0.821854946325922,1.83910471834041,-0.195394825688572,eci,No OPEC,1990 - 2016,1990,2016
6.9,0.77624900676122,1.76754415990566,-0.215046146383217,eci,No OPEC,1990 - 2016,1990,2016
7,0.730643067196604,1.69629921882984,-0.23501308443663,eci,No OPEC,1990 - 2016,1990,2016
7.1,0.685037127631964,1.62542495898326,-0.255350703719332,eci,No OPEC,1990 - 2016,1990,2016
7.2,0.639431188067268,1.55492234129283,-0.276059965158289,eci,No OPEC,1990 - 2016,1990,2016
7.3,0.5938252485027,1.48485238468821,-0.297201887682813,eci,No OPEC,1990 - 2016,1990,2016
7.4,0.54821930893802,1.41522490168251,-0.318786283806466,eci,No OPEC,1990 - 2016,1990,2016
7.5,0.502613369373333,1.34610618417269,-0.340879445426023,eci,No OPEC,1990 - 2016,1990,2016
7.6,0.457007429808839,1.27750432963915,-0.363489470021468,eci,No OPEC,1990 - 2016,1990,2016
7.7,0.411401490244185,1.20950319524086,-0.386700214752488,eci,No OPEC,1990 - 2016,1990,2016
7.8,0.365795550679556,1.14211820297023,-0.41052710161112,eci,No OPEC,1990 - 2016,1990,2016
7.9,0.320189611114832,1.0754365984895,-0.435057376259838,eci,No OPEC,1990 - 2016,1990,2016
8,0.274583671550277,1.00948845122881,-0.460321108128254,eci,No OPEC,1990 - 2016,1990,2016
8.1,0.228977731985611,0.944359338798696,-0.486403874827474,eci,No OPEC,1990 - 2016,1990,2016
8.2,0.183371792420941,0.880103896568794,-0.513360311726911,eci,No OPEC,1990 - 2016,1990,2016
8.3,0.137765852856354,0.816797153674827,-0.541265447962119,eci,No OPEC,1990 - 2016,1990,2016
8.4,0.0921599132917266,0.754519989663029,-0.570200163079576,eci,No OPEC,1990 - 2016,1990,2016
8.5,0.0465539737270726,0.693353463211047,-0.600245515756902,eci,No OPEC,1990 - 2016,1990,2016
8.6,0.000948034162451246,0.633368632086114,-0.631472563761211,eci,No OPEC,1990 - 2016,1990,2016
8.7,-0.0446579054022353,0.574656452866617,-0.663972263671088,eci,No OPEC,1990 - 2016,1990,2016
8.8,-0.0902638449668494,0.517298639122243,-0.697826329055941,eci,No OPEC,1990 - 2016,1990,2016
8.9,-0.135869784531533,0.461372780413174,-0.73311234947624,eci,No OPEC,1990 - 2016,1990,2016
9,-0.1814757240962,0.406954617942107,-0.769906066134507,eci,No OPEC,1990 - 2016,1990,2016
9.1,-0.227081663660831,0.354113525809037,-0.808276853130699,eci,No OPEC,1990 - 2016,1990,2016
9.2,-0.272687603225475,0.302907537481764,-0.848282743932714,eci,No OPEC,1990 - 2016,1990,2016
9.3,-0.318293542790056,0.253386174795346,-0.889973260375458,eci,No OPEC,1990 - 2016,1990,2016
9.4,-0.363899482354711,0.205584340919412,-0.933383305628834,eci,No OPEC,1990 - 2016,1990,2016
9.5,-0.409505421919326,0.159521039248485,-0.978531883087137,eci,No OPEC,1990 - 2016,1990,2016
9.6,-0.455111361483993,0.115201024306733,-1.02542374727472,eci,No OPEC,1990 - 2016,1990,2016
9.7,-0.500717301048634,0.0726129322317948,-1.07404753432906,eci,No OPEC,1990 - 2016,1990,2016
9.8,-0.546323240613319,0.0317292597432779,-1.12437574096992,eci,No OPEC,1990 - 2016,1990,2016
9.9,-0.591929180177905,-0.00749148424707091,-1.17636687610874,eci,No OPEC,1990 - 2016,1990,2016
10,-0.63753511974252,-0.0451029661244501,-1.22996727336059,eci,No OPEC,1990 - 2016,1990,2016
10.1,-0.683141059307198,-0.0811692994803432,-1.28511281913405,eci,No OPEC,1990 - 2016,1990,2016
